Yearly_price,Num_checks,Num_bedrooms,Area_sqft,Description
199999,1,5,3168,"Fully Landscaped 3BR Villa Palma Phase 2"
210000,2,3,3400,"Vacant 3 Bed plus Maids Room in Saheel 3"
210000,2,4,2788,"2E Villa, Alma 1, 3/4 Bed, Maid, Study"
185000,NA,3,2540,"Lovely Villa in Al Reem , with a pool"
210000,4,4,3162,"Brand New 3br Villa In Arabian Ranches2 For Rent"
190000,1,4,3060,"3 BR Townhouse with Maid's Room and Study in Al Reem, in Arabian Ranches"
180000,1,4,2724,"Large Plot - Al Reem Type 2E - Private Garden"
275000,2,5,4020,"	Stunning family home in Alvorada 2 Ranches"
200000,1,4,3259,"3 bed + Maid villa in Casa- Arabian Ranches"
165000,NA,4,3600,"	3+Study+Maids Type 1E Brand New Villa For Rent in Mira Phase II"
185000,1,3,2540,"	Lovely 3 bedroom Villa with Private Pool"
205000,NA,4,2724,"	Type 2E, 3BR + Maids, Alma Villa, Arabian Ranches"
190000,1,3,2753,"Arabian Ranches Type 2M Villa for Rent"
230000,NA,3,2936,"Stunning Type A opposite pool & Lake Views"
210000,1,4,2724,"Outstanding 2E Villa - Available 31st October"
179999,NA,3,2560,"	Type 2M - 3 bed +maid+study - Al Reem 1- (006)"
208000,2,3,3788,"Alma 1 | Fully Landscaped | Vacant in Nov"
135000,4,4,2554,"	Beautiful 3 Bedroom Villa iN Mira Phase 2 in 4 Cheques"
165000,2,3,2500,"3 BHK Plus Study Al Reem 2 Type 3E for rent"
220000,NA,3,3153,"Stunning 1E villa available in Al Reem 2"
225000,4,4,3324,"Amazing 3BR+maids Type-7 Villa in Arabian Ranches !!"
180000,NA,3,3248,"3 Bedroom with private pool in Al Reem 1"
180000,2,4,2724,"Huge Plot - Type 2E - Al Reem 1 - 3 Bed Plus Maids"
210000,NA,3,2724,"	Lake view upgraded type 2 villa with pool -Al Reem"
250000,NA,5,4500,"	Luxury 3 Bedroom Double Story Villa in Arabian Ranches"
149999,2,4,2540,"Perfect Home Beautiful 3BR+S villa for rent in Al Reem -1 Arabian Ranches"
189999,NA,3,2924,"	Alma 1 I Upgraded Villa, 3 BR I Study I Pvt Garden"
235000,1,4,3300,"Type 9 Villa 3BR+Maid's in Saheel, Arabian Ranches"
185000,NA,4,2560,"	3BR + Maid with Study in Al Reem, Arabian Ranches"
180000,NA,4,2588,"	Excellent Condition | Available Now | 2M"
190000,NA,0,2564,"	Al Reem 1 -Type 2M/3BR +Maids+Study"
190000,1,4,2936,"Type A, 4 Bedroom Villa at Palmera 3 Ranches"
185000,1,0,2924,"Amazing 3 Bed + S Villa @ Alma Arabian Ranches"
205000,NA,4,4500,"Arabian Ranches, Alma 1, Villa,Plot Area 4134sq.ft Polo community, Garden Swimming pool 3 BR +maid+study. Rent 205k."
215000,NA,3,2788,"Well-maintained 3 bed + M villa in Al Reem"
215000,NA,3,2788,"Fabulous family villa with pool, Al Reem"
210000,1,4,2724,"	Lake View - Private Pool - Al Reem Type 2E"
185000,1,4,3127,"Pool And Park View Available - Al Reem"
230000,NA,2,2936,"	Beautiful Type A in Palmera available December"
180000,1,3,2500,"	Private Pool - Spacious Type 3M Villa"
189999,NA,3,2800,"Awesome Villa-Type 3E-Al Reem 3-(006)"
170000,NA,3,2936,"Three bedroom Townhouse, Arabian Ranches"
240000,NA,3,3324,"	Beautiful large type 7 villa with garden in Saheel"
280000,1,2,3100,"Amazing 3 bedroom Villa in Savannah Arabian ranches"
190000,NA,0,2540,"	Unique|Alma vacant 3M quiet location"
190000,1,4,3583,"	Type 2,3BHK + Maid Palma Arabian Ranches for Rent"
260000,1,3,3566,"	3Br + M + Type A2 Villa @ Alvorada Arabian Ranches"
220000,NA,4,3500,"	Ready To Move In Spacious Bright Comfortable Well Maintained,Type 2--CASA!! 3B/R+Maids for RENT in Arabian Ranches ONLY AED 200,000!!"
195000,NA,3,3168,"Delightful Villa in Palma, Arabian Ranches"
230000,1,4,3168,"Brand New - Community View - Shared Swimming Pool"
250000,NA,3,3687,"Rare type 6 in Saheel with landscaped garden"
275000,NA,4,4000,"Private pool 4 bed -Bigger plot -Al Reem 3-(006)"
210000,NA,3,2800,"mmaculate 3 bedroom type 2E villa, Alma"
220000,NA,4,2940,"Palmera 2 family villa type A with landscaped garden"
195000,NA,0,2627,Alma-2M/3BR+Maids+Study
230000,1,4,3552,"	Savannah 3 Bedroom Villa for Rent in Dubai"
155000,2,4,2746,"	Wonderful 3br villa available for rent with landscape"
190000,NA,3,2788,"Family villa in Al Reem, Arabian Ranches"
195000,NA,2,3252,"	3 bed with Maids, Casa, Arabian Ranches 2"
265000,NA,0,2500,"	Back to Back View-Type 3M-Alvorada 4-(005)"
220000,NA,3,3167,"	Stunning family villa in Saheel - Type 9 - 3 bed"
165000,NA,3,2540,"	Well Maintained Al Reem Villa, Arabian Ranches"
190000,NA,2,2540,"	Well Presented 3 Bed + Study (3M) in Alma 1"
235000,NA,3,2936,"	Lovely Villa in Palmera"
210000,NA,3,2788,"	3 beds plus maids on the lake"
160000,NA,3,2540,"	Delightful Villa in Al Reem, Arabian Ranches"
170000,NA,2,2724,"Three Bedroom Plus Maids, large garden, Al Reem"
220000,NA,3,2788,"	Beautiful Upgraded Villa with a pool, Al Reem"
450000,NA,3,11830,"	Lovely Villa in Golf Homes, Arabian Ranches"
215000,1,3,2788,"Lovely Villa in Alma, Arabian Ranches"
185000,NA,3,2540,"Beautiful Villa in Alma, Arabian Ranches"
200000,NA,3,2998,"	Lake view Villa in Al Reem, Arabian Ranches"
250000,NA,3,3216,"	Lovely Villa in saheel with large plot, fully landscaped"
200000,NA,3,2627,"Al Reem, backs onto pool and tennis, Arabian Ranches"
180000,NA,3,2540,"Lovely Villa in Al Reem, Arabian Ranches"
200000,NA,3,2788,"	Lake view family villa in Al Reem, Arabian Ranches"
250000,1,3,3687,"	Beautiful Type 6 3 bedroom villa in Saheel for Rent"
